               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.014915,           0.0072441,           0.0073539,             0.97932,             0.98864,             0.98775,             0.84117,           0.0073709,           0.0022291,           0.0010539,            0.070014,           0.0033318,           0.0033318
                   1,            0.017671,           0.0074676,           0.0080288,             0.97886,             0.98654,             0.98975,             0.82162,           0.0086909,           0.0023404,           0.0011692,            0.039948,           0.0065991,           0.0065991
                   2,            0.020101,            0.007893,             0.01042,             0.97816,             0.97967,              0.9839,             0.79023,           0.0096225,           0.0026023,           0.0015862,           0.0098159,           0.0098005,           0.0098005
                   3,            0.021966,           0.0084819,            0.013926,             0.96783,              0.9732,             0.98129,             0.78852,           0.0099471,           0.0026849,           0.0026385,            0.009703,            0.009703,            0.009703
                   4,             0.02219,           0.0085959,            0.014542,             0.97109,             0.97741,             0.98462,             0.79211,           0.0097742,           0.0026644,           0.0019797,            0.009703,            0.009703,            0.009703
                   5,            0.021828,           0.0087349,             0.01502,             0.96824,             0.96957,             0.97645,             0.78589,            0.010218,           0.0026654,           0.0029393,            0.009604,            0.009604,            0.009604
                   6,            0.021857,           0.0085791,             0.01434,             0.96626,             0.97882,              0.9833,              0.7931,           0.0096551,           0.0026744,           0.0020388,            0.009505,            0.009505,            0.009505
                   7,            0.021613,           0.0085774,            0.014297,             0.96019,             0.96452,             0.97824,             0.78449,           0.0098652,           0.0026784,           0.0026168,            0.009406,            0.009406,            0.009406
                   8,            0.021525,           0.0084227,             0.01393,             0.96715,             0.97604,             0.98035,             0.79964,           0.0092267,           0.0025921,           0.0026878,            0.009307,            0.009307,            0.009307
                   9,            0.021395,           0.0085279,             0.01402,              0.9779,             0.97067,             0.98564,              0.8052,           0.0093523,           0.0026081,           0.0020654,            0.009208,            0.009208,            0.009208
                  10,            0.020987,           0.0084639,            0.013958,             0.96905,             0.97304,             0.97905,             0.78886,           0.0094489,           0.0026147,           0.0026249,            0.009109,            0.009109,            0.009109
                  11,            0.020823,           0.0083167,            0.013392,             0.95955,             0.96944,             0.97736,             0.79551,           0.0094122,            0.002583,           0.0023281,             0.00901,             0.00901,             0.00901
                  12,            0.021081,            0.008407,            0.013713,             0.97176,             0.96766,             0.98377,             0.80353,           0.0091193,           0.0025985,           0.0023248,            0.008911,            0.008911,            0.008911
                  13,            0.020757,           0.0082727,            0.013244,             0.97065,             0.98013,             0.98452,             0.80429,           0.0089664,           0.0025643,           0.0018053,            0.008812,            0.008812,            0.008812
                  14,            0.020708,           0.0083771,             0.01338,             0.97125,             0.97799,             0.98522,             0.81235,           0.0090356,           0.0025242,           0.0020744,            0.008713,            0.008713,            0.008713
                  15,            0.020682,           0.0084029,            0.013458,             0.97098,              0.9713,             0.97975,             0.79975,           0.0088492,           0.0026549,           0.0023988,            0.008614,            0.008614,            0.008614
                  16,            0.020745,           0.0083374,            0.013001,             0.96652,             0.97429,             0.97945,             0.80106,           0.0089924,           0.0026223,           0.0021161,            0.008515,            0.008515,            0.008515
                  17,            0.020607,           0.0082908,            0.013069,             0.96901,             0.97801,             0.98237,             0.80693,           0.0087863,           0.0026128,           0.0019702,            0.008416,            0.008416,            0.008416
                  18,            0.020275,           0.0083357,            0.012207,             0.97172,             0.97902,             0.98171,             0.81502,           0.0083019,           0.0025147,           0.0019778,            0.008317,            0.008317,            0.008317
                  19,            0.020121,           0.0082607,            0.012476,             0.97011,             0.96827,             0.97872,             0.81245,           0.0087097,           0.0025083,           0.0021274,            0.008218,            0.008218,            0.008218
                  20,            0.020124,           0.0081626,             0.01206,             0.97563,             0.96561,              0.9814,             0.80918,            0.008742,           0.0025222,            0.002035,            0.008119,            0.008119,            0.008119
                  21,            0.019973,           0.0082709,            0.012074,             0.96978,             0.98066,              0.9807,             0.80854,           0.0085499,           0.0025048,           0.0021384,             0.00802,             0.00802,             0.00802
                  22,            0.019785,           0.0081299,            0.012348,             0.97133,             0.97246,             0.98098,             0.81215,           0.0085414,           0.0025879,           0.0022478,            0.007921,            0.007921,            0.007921
                  23,            0.020153,            0.008193,             0.01183,             0.97294,             0.96889,             0.98202,             0.81559,           0.0084378,           0.0025046,           0.0019315,            0.007822,            0.007822,            0.007822
                  24,            0.019869,           0.0082359,            0.011772,             0.96775,              0.9762,             0.98005,             0.81363,           0.0083378,           0.0025111,           0.0023952,            0.007723,            0.007723,            0.007723
                  25,            0.019911,           0.0081284,            0.011812,             0.97051,             0.97486,             0.97948,             0.81299,           0.0083501,           0.0025096,           0.0025204,            0.007624,            0.007624,            0.007624
                  26,            0.019891,           0.0082574,            0.012331,             0.97093,             0.97335,             0.97989,             0.81369,            0.008405,           0.0024898,           0.0023026,            0.007525,            0.007525,            0.007525
                  27,            0.019749,            0.008082,            0.011841,             0.97251,             0.97957,             0.98341,             0.81448,           0.0081045,           0.0024581,           0.0021655,            0.007426,            0.007426,            0.007426
                  28,            0.019646,              0.0081,            0.011102,              0.9717,             0.97307,             0.98067,             0.81606,           0.0082629,           0.0024696,           0.0022935,            0.007327,            0.007327,            0.007327
                  29,            0.019673,           0.0080535,            0.011849,             0.97574,             0.97427,             0.98315,             0.82032,           0.0081107,           0.0024439,            0.001839,            0.007228,            0.007228,            0.007228
                  30,            0.019429,           0.0080508,             0.01142,             0.97112,             0.98031,             0.98175,             0.82058,           0.0080418,           0.0024232,           0.0020091,            0.007129,            0.007129,            0.007129
                  31,            0.019364,               0.008,            0.011722,             0.96767,             0.97633,             0.98381,             0.82485,           0.0080812,           0.0024256,           0.0019777,             0.00703,             0.00703,             0.00703
                  32,            0.019091,           0.0080822,            0.011024,             0.97166,             0.97701,             0.98371,             0.82176,           0.0079651,           0.0024366,            0.001977,            0.006931,            0.006931,            0.006931
                  33,            0.019206,           0.0080809,             0.01109,             0.97241,             0.97992,             0.98326,             0.82305,           0.0077736,           0.0024485,           0.0017837,            0.006832,            0.006832,            0.006832
                  34,             0.01908,           0.0079784,            0.010512,              0.9694,             0.97981,             0.98245,             0.82284,           0.0077393,           0.0024429,           0.0020172,            0.006733,            0.006733,            0.006733
                  35,            0.019237,           0.0080349,            0.010975,              0.9717,             0.97945,              0.9829,             0.82135,           0.0077941,           0.0024291,           0.0019538,            0.006634,            0.006634,            0.006634
                  36,            0.019141,           0.0078672,            0.010299,             0.97201,             0.97946,             0.98327,             0.82714,           0.0077102,           0.0024202,           0.0020151,            0.006535,            0.006535,            0.006535
                  37,            0.019013,           0.0080196,            0.010621,             0.96646,             0.97777,             0.98274,             0.82272,           0.0077255,           0.0024227,           0.0018939,            0.006436,            0.006436,            0.006436
                  38,            0.019014,           0.0078808,            0.010371,             0.96592,             0.98027,             0.98292,             0.83165,           0.0076332,           0.0023776,           0.0020918,            0.006337,            0.006337,            0.006337
                  39,            0.018586,           0.0078991,            0.010253,              0.9653,             0.98113,             0.98092,             0.82867,           0.0074962,           0.0023745,           0.0021056,            0.006238,            0.006238,            0.006238
                  40,            0.018677,           0.0079368,             0.01051,             0.97247,             0.98075,             0.98214,              0.8302,           0.0075422,           0.0023982,           0.0021199,            0.006139,            0.006139,            0.006139
                  41,            0.018866,           0.0078468,             0.01025,             0.97128,              0.9771,             0.98247,             0.83114,           0.0075202,           0.0023634,           0.0021451,             0.00604,             0.00604,             0.00604
                  42,            0.018532,           0.0077909,            0.010209,             0.97483,             0.97558,             0.98342,             0.83177,           0.0074243,           0.0023573,           0.0022869,            0.005941,            0.005941,            0.005941
                  43,            0.018034,           0.0077726,           0.0094493,             0.96978,             0.98302,             0.98249,             0.83067,           0.0073927,            0.002336,           0.0020972,            0.005842,            0.005842,            0.005842
                  44,             0.01843,           0.0078185,           0.0099754,             0.97183,             0.97772,             0.98087,             0.82508,           0.0074955,           0.0023561,           0.0023999,            0.005743,            0.005743,            0.005743
                  45,            0.018521,           0.0077801,            0.010226,             0.97119,             0.97654,             0.97893,             0.82901,            0.007439,           0.0023366,           0.0022804,            0.005644,            0.005644,            0.005644
                  46,            0.018167,           0.0077798,           0.0096627,             0.97031,             0.98123,              0.9814,             0.83338,           0.0072803,           0.0023332,           0.0021216,            0.005545,            0.005545,            0.005545
                  47,            0.018049,           0.0076757,           0.0094977,             0.97306,              0.9797,             0.98054,             0.82883,           0.0072829,            0.002332,           0.0019977,            0.005446,            0.005446,            0.005446
                  48,            0.018164,            0.007749,           0.0094718,             0.97636,             0.98069,             0.98241,             0.83121,           0.0072896,           0.0023136,           0.0019926,            0.005347,            0.005347,            0.005347
                  49,            0.017847,           0.0076378,           0.0095327,             0.97376,             0.98179,             0.98027,             0.83087,           0.0073196,           0.0023285,            0.002082,            0.005248,            0.005248,            0.005248
                  50,            0.018026,           0.0076871,            0.009321,              0.9719,             0.97868,              0.9808,             0.82863,           0.0073634,           0.0023112,           0.0022737,            0.005149,            0.005149,            0.005149
                  51,            0.017752,           0.0077225,           0.0093338,             0.97317,             0.98037,             0.98322,             0.83397,           0.0073037,           0.0023036,           0.0019632,             0.00505,             0.00505,             0.00505
                  52,              0.0178,           0.0076316,           0.0090118,             0.97339,             0.97847,             0.98126,             0.83262,           0.0073433,            0.002319,           0.0023325,            0.004951,            0.004951,            0.004951
                  53,            0.017663,           0.0077038,           0.0091802,             0.97426,             0.98389,             0.98607,             0.83751,           0.0073333,            0.002302,           0.0017393,            0.004852,            0.004852,            0.004852
                  54,            0.017604,           0.0077066,           0.0093882,             0.97621,             0.97742,             0.98347,              0.8326,           0.0073248,           0.0023259,           0.0019408,            0.004753,            0.004753,            0.004753
                  55,            0.017696,           0.0077248,            0.008764,             0.97426,             0.98063,             0.98303,             0.83535,           0.0072438,           0.0023073,           0.0017018,            0.004654,            0.004654,            0.004654
                  56,            0.017411,           0.0075598,           0.0084253,             0.97492,             0.98149,             0.98245,              0.8367,           0.0071318,           0.0022883,           0.0018461,            0.004555,            0.004555,            0.004555
                  57,            0.017224,           0.0075714,           0.0087937,              0.9778,             0.97962,             0.98246,             0.83524,           0.0071489,           0.0023015,           0.0017698,            0.004456,            0.004456,            0.004456
                  58,            0.017234,           0.0075048,            0.008111,              0.9735,             0.98263,             0.98184,             0.83544,           0.0070779,           0.0023031,           0.0017516,            0.004357,            0.004357,            0.004357
                  59,            0.017127,           0.0075022,            0.008417,              0.9742,             0.98249,             0.98421,             0.83673,           0.0070536,            0.002279,           0.0016305,            0.004258,            0.004258,            0.004258
                  60,            0.016894,            0.007642,             0.00779,             0.97067,             0.98437,             0.98258,             0.83664,           0.0069922,           0.0022714,           0.0019132,            0.004159,            0.004159,            0.004159
